Index,Potencia,Hour,Date,Month,Year,Day,Day (Spanish),Tecnología
2024-01-06 23:00:00,-275.93,23:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-07 00:00:00,-254.25,00:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 01:00:00,-204.33,01:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 02:00:00,-246.51,02:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 03:00:00,-244.96,03:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 04:00:00,-293.06,04:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 05:00:00,-187.9,05:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 06:00:00,-207.31,06:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 07:00:00,-191.11,07:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 08:00:00,-170.2,08:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 09:00:00,-111.7,09:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 10:00:00,-111.71,10:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 11:00:00,-63.31,11:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 12:00:00,-83.31,12:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 13:00:00,-74.45,13:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 14:00:00,-149.87,14:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 15:00:00,-184.17,15:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 16:00:00,-146.61,16:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 17:00:00,-179.82,17:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 18:00:00,-109.92,18:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 19:00:00,-113.24,19:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 20:00:00,-104.33,20:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 21:00:00,-131.48,21:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 22:00:00,-210.78,22:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-07 23:00:00,-273.58,23:00,2024-01-07,January,2024,Sunday,Domingo,Exportación
2024-01-08 00:00:00,-294.07,00:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 01:00:00,-292.8,01:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 02:00:00,-268.56,02:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 03:00:00,-303.2,03:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 04:00:00,-303.37,04:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 05:00:00,-208.05,05:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 06:00:00,-197.14,06:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 07:00:00,-160.32,07:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 08:00:00,-174.17,08:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 09:00:00,-103.98,09:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 10:00:00,-164.02,10:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 11:00:00,-178.87,11:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 12:00:00,-186.87,12:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 13:00:00,-142.36,13:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 14:00:00,-152.76,14:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 15:00:00,-171.27,15:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 16:00:00,-163.79,16:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 17:00:00,-193.49,17:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 18:00:00,-95.07,18:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 19:00:00,-115.39,19:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 20:00:00,-111.89,20:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 21:00:00,-158.68,21:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 22:00:00,-244.01,22:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-08 23:00:00,-247.24,23:00,2024-01-08,January,2024,Monday,Lunes,Exportación
2024-01-09 00:00:00,-270.05,00:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 01:00:00,-311.47,01:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 02:00:00,-272.44,02:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 03:00:00,-262.49,03:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 04:00:00,-267.09,04:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 05:00:00,-216.99,05:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 06:00:00,-163.06,06:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 07:00:00,-134.0,07:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 08:00:00,-180.67,08:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 09:00:00,-158.56,09:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 10:00:00,-188.23,10:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 11:00:00,-159.87,11:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 12:00:00,-170.37,12:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 13:00:00,-140.56,13:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 14:00:00,-175.91,14:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 15:00:00,-134.09,15:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 16:00:00,-140.84,16:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 17:00:00,-186.4,17:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 18:00:00,-119.53,18:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 19:00:00,-131.31,19:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 20:00:00,-117.99,20:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 21:00:00,-143.09,21:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 22:00:00,-205.07,22:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-09 23:00:00,-235.05,23:00,2024-01-09,January,2024,Tuesday,Martes,Exportación
2024-01-10 00:00:00,-243.94,00:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 01:00:00,-209.57,01:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 02:00:00,-268.03,02:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 03:00:00,-214.5,03:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 04:00:00,-241.71,04:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 05:00:00,-253.94,05:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 06:00:00,-178.24,06:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 07:00:00,-215.65,07:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 08:00:00,-189.33,08:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 09:00:00,-186.24,09:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 10:00:00,-200.65,10:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 11:00:00,-117.06,11:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 12:00:00,-134.19,12:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 13:00:00,-147.42,13:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 14:00:00,-171.46,14:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 15:00:00,-85.07,15:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 16:00:00,-127.45,16:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 17:00:00,-158.67,17:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 18:00:00,-105.48,18:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 19:00:00,-93.02,19:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 20:00:00,-98.8,20:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 21:00:00,-114.69,21:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 22:00:00,-206.91,22:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-10 23:00:00,-206.01,23:00,2024-01-10,January,2024,Wednesday,Miércoles,Exportación
2024-01-11 00:00:00,-202.0,00:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 01:00:00,-201.21,01:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 02:00:00,-182.49,02:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 03:00:00,-168.54,03:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 04:00:00,-160.3,04:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
